Taxonomy,WS1L1,WS1L2,WS1L3,WS1L4,WS2L1,WS2L2,WS2L3,WS2L4,WS3L1,WS3L2,WS3L3,WS3L4,BS1L1,BS1L2,BS1L3,BS1L4,BS2L1,BS2L3,BS2L4,BS3L1,BS3L2,BS3L3,BS3L4,BS2L2,Tax_detail
unidentified_Paracaedibacteraceae,7.24E-05,0,0,0,0.001255553,0.024362565,0.01313502,0.002535252,0,0.00091752,0.000651922,0.000217307,0,0,0,0,7.24E-05,0,4.83E-05,2.41E-05,0,0.000144872,0,2.41E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__unidentified_Paracaedibacteraceae;
Sulfuritalea,0,0.001255553,2.41E-05,0.000193162,0,0.00045876,0.000169017,7.24E-05,0.000820939,0.000144872,0.000338034,0.001327989,0.007098706,0.013931814,0.023855515,0.017432876,0.00564999,0.004804906,0.007702337,0.011082673,0.00651922,0.010479042,0.010599768,0.008764729,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;
Paucibacter,0.000531196,0.014535445,0.001327989,0.009658103,0.004973923,0.001738459,0.00468418,0.00183504,0,0.003356191,0.001086537,0.004273711,0.000845084,0.017239714,0.000265598,0.007605756,0.000627777,0.000820939,0.000869229,0.008281823,0.008161097,0.023107012,0.022165347,0.000193162,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Paucibacter;
Geobacter,0,7.24E-05,0,0,0,0,0,0,0,0,0,0,0.001134827,0.002824995,0.021803168,0.002390381,0.007050415,0.012772841,0.00748503,0.000193162,0.000120726,0.00188333,0.001014101,0.003090593,k__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;
Duganella,0.000700212,0.000482905,0.002752559,0.000362179,7.24E-05,0.017046552,0.021223682,0.010358316,0.001038246,0.014173266,0.000362179,0.000796794,0.001255553,0.000144872,0,7.24E-05,0.000579486,0,0.00045876,0.001014101,0.007629901,0.000482905,0.000579486,0.004273711,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Duganella;
CL500-29_marine_group,0.008305969,0.020958084,0.016636083,0.003670079,0.003404481,0.003187174,0.002559397,0.016636083,0.016008306,0.010575623,0.003887387,0.004587599,0.008595712,0.000748503,0.00982712,0.001569442,0.00325961,0.00371837,0.006084605,0.003476917,0.002004056,0.000869229,0.001207263,0.00417713,k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group;
Janthinobacterium,0.000362179,0.000362179,0.000241453,0,0,0.002148928,0.000748503,0.004708325,0.000386324,0.000362179,0.000144872,0.003114738,0.000265598,0.004104694,0.006543365,0.02016129,0.003549353,0.000772648,0.001038246,0.005118795,0.001062391,0.007702337,0.004829052,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;
Methylotenera,0.005698281,0.002873286,0.000482905,0.008571567,7.24E-05,0.00188333,0.000386324,0.000193162,0.000700212,2.41E-05,7.24E-05,0.000845084,0.004804906,0.020137145,0.002004056,0.007050415,0.000845084,0.000434615,0.001014101,0,0.000169017,0.000265598,9.66E-05,0.000338034,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;
Aquabacterium,0.000434615,0.005553409,0.000603631,0.005384393,0.002366235,0.005239521,0.002873286,0.007726483,0.019630095,0.002100637,0.002511107,0.005939733,0.005167085,0.009947846,0.005505119,0.011686305,0.003501062,0.003549353,0.005167085,0.005915588,0.016129032,0.017239714,0.012338227,0.014945915,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium;
Massilia,0.009271779,0.005915588,0.003283755,0.000893375,0,0.001931621,0.000217307,0.000724358,0.000120726,0.00651922,0.000217307,0.003138884,0.004732471,0.00702627,0.004491018,0.001158972,0.001666023,0.001183118,0.001810894,0.006253622,0.019340352,0.009706394,0.009295924,0.003404481,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;
Candidatus_Planktophila,0.000845084,0.000869229,0.000169017,0.002124783,0.004346146,0.007436739,0.002969867,0.01873672,0.010961947,0.010358316,0.015114931,0.009175198,0.001714313,0.000144872,0.000193162,0,0.000265598,4.83E-05,0.001327989,0.001158972,0.001690168,0.000700212,0.000289743,0.000217307,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Candidatus_Planktophila;
Acidaminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.001062391,0.003066448,0.009102762,0.005891443,0.002921576,0.017795055,0.015042496,0,0,0,0.002559397,0.001859185,k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Acidaminobacteraceae;g__Acidaminobacter;
unidentified_Comamonadaceae,0.002752559,0.002945721,0.002197218,0.006422639,0.011758741,0.01079293,0.013352328,0.017288005,0.004128839,0.010986092,0.007629901,0.01731215,0.000338034,0.002486962,0.000313888,0.008040371,9.66E-05,0.000845084,0.001593587,0.002655978,0.005022214,0.008571567,0.011565579,0.000313888,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__unidentified_Comamonadaceae;
Candidatus_Finniella,0.000120726,0,0.000217307,0,0.001255553,0.009609813,0.016829245,0.000362179,2.41E-05,0.000531196,0,7.24E-05,0,0,0,0,0,0.000120726,9.66E-05,0,9.66E-05,0.000265598,7.24E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__Candidatus_Finniella;
Novosphingobium,0.002148928,0.003211319,4.83E-05,0.000989956,0.000845084,0.001352134,0.002173073,0.00045876,7.24E-05,0.000217307,0.000193162,0.001110682,0.004708325,0.002462816,0.002173073,0.003090593,0.013279892,0.008330114,0.001545297,0.007919645,0.010623913,0.004418582,0.005239521,0.016805099,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;
