mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
484.94,16703663,358.114375,358.114355,-0.021,-0.057,C15 H20 N O9   ,15,20,1,9,0,
599.76,5552314,358.129615,358.129611,-0.004,-0.011,C19 H20 N O6   ,19,20,1,6,0,
424.98,9400522,358.150742,358.150740,-0.001,-0.003,C16 H24 N O8   ,16,24,1,8,0,
454.46,3684141,358.971317,358.971456,0.139,0.386,C12 H7 O11 S   ,12,7,0,11,1,
374.69,2806585,358.986929,358.986712,-0.217,-0.603,C16 H7 O8 S    ,16,7,0,8,1,
31.51,11445062,359.004487,359.004470,-0.017,-0.048,C16 H7 O10     ,16,7,0,10,0,
472.59,6056777,359.007865,359.007841,-0.024,-0.066,C13 H11 O10 S  ,13,11,0,10,1,
569.18,8708949,359.025588,359.025599,0.011,0.031,C13 H11 O12    ,13,11,0,12,0,
196.08,25674592,359.040862,359.040856,-0.006,-0.018,C17 H11 O9     ,17,11,0,9,0,
463.41,12190563,359.044237,359.044227,-0.010,-0.029,C14 H15 O9 S   ,14,15,0,9,1,
518.25,3416936,359.049822,359.049587,-0.235,-0.654,C20 H11 N2 O3 S,20,11,2,3,1,
596.87,3416936,359.049822,359.050100,0.278,0.775,C7 H19 O14 S   ,7,19,0,14,1,
565.80,8219498,359.052112,359.052089,-0.024,-0.066,C16 H11 N2 O8  ,16,11,2,8,0,
612.00,7633771,359.053860,359.053610,-0.250,-0.696,C25 H11 O S    ,25,11,0,1,1,
498.06,3456876,359.055407,359.055460,0.053,0.147,C13 H15 N2 O8 S,13,15,2,8,1,
165.38,47448944,359.061966,359.061985,0.018,0.051,C14 H15 O11    ,14,15,0,11,0,
734.62,4150136,359.071535,359.071368,-0.167,-0.465,C25 H11 O3     ,25,11,0,3,0,
196.24,26755964,359.077269,359.077241,-0.028,-0.077,C18 H15 O8     ,18,15,0,8,0,
205.54,23946110,359.080601,359.080612,0.011,0.032,C15 H19 O8 S   ,15,19,0,8,1,
566.88,24707972,359.088524,359.088474,-0.050,-0.139,C17 H15 N2 O7  ,17,15,2,7,0,
370.09,51381132,359.098374,359.098370,-0.004,-0.010,C15 H19 O10    ,15,19,0,10,0,
505.67,5333902,359.101366,359.101742,0.376,1.048,C12 H23 O10 S  ,12,23,0,10,1,
621.03,9282451,359.108051,359.107753,-0.298,-0.830,C26 H15 O2     ,26,15,0,2,0,
601.52,5182357,359.109773,359.109604,-0.169,-0.471,C14 H19 N2 O9  ,14,19,2,9,0,
350.63,27657112,359.113598,359.113627,0.028,0.078,C19 H19 O7     ,19,19,0,7,0,
507.30,16573338,359.116946,359.116998,0.052,0.145,C16 H23 O7 S   ,16,23,0,7,1,
597.40,7198624,359.124994,359.124860,-0.134,-0.372,C18 H19 N2 O6  ,18,19,2,6,0,
278.69,37290920,359.134772,359.134756,-0.016,-0.046,C16 H23 O9     ,16,23,0,9,0,
575.09,9409454,359.144464,359.144139,-0.325,-0.905,C27 H19 O      ,27,19,0,1,0,
215.98,28771250,359.150013,359.150012,-0.001,-0.002,C20 H23 O6     ,20,23,0,6,0,
516.55,5362613,359.153315,359.153383,0.068,0.190,C17 H27 O6 S   ,17,27,0,6,1,
308.24,13763522,359.171126,359.171141,0.015,0.043,C17 H27 O8     ,17,27,0,8,0,
109.20,14332877,359.186421,359.186398,-0.023,-0.065,C21 H27 O5     ,21,27,0,5,0,
-1000.00,5843933,359.207579,359.207527,-0.052,-0.146,C18 H31 O7     ,18,31,0,7,0,
464.12,3228217,360.018255,360.018346,0.092,0.255,C16 H10 N O7 S ,16,10,1,7,1,
402.45,10327622,360.036104,360.036104,0.000,0.001,C16 H10 N O9   ,16,10,1,9,0,
